Student_ID,Full_Name,Date_of_Birth,Grade_Level,Emergency_Contact,Emergency_Contact_Ext
S00001,Donna Williams,2007-02-10,Grade 3,+17815344258,9046
S00002,John Stafford,2014-11-26,Grade 5,+17826916291,99704
S00003,Chad Harper,2017-02-07,Grade 3,+13085173750,-
S00004,Anthony Martin,2014-10-11,Grade 5,+13067711524,116
S00005,Mary Stone,2016-01-04,Grade 3,+17944848495,7772
S00006,Joe Wells,2017-06-29,Grade 2,+19338645644,501
S00007,Margaret Nixon,2009-12-04,Grade 4,+17067080421,412
S00008,James Wheeler,2011-01-25,Grade 1,+16058180057,877
S00009,Benjamin Cook,2007-10-04,Grade 4,+14895037511,611
S00010,Aaron Callahan,2012-02-18,Grade 4,-,-
S00011,Christopher Church,2008-02-23,Grade 1,-,-
S00012,Jonathan Solis,2016-07-07,Grade 1,+15342534789,8656
S00013,Robert Sanders,2008-04-30,Grade 2,+16376421016,7779
S00014,Melanie Gilmore,2006-08-19,Grade 4,+15698428327,8506
S00015,Alexandria Wallace,2006-06-21,Grade 2,+12832596520,7061
S00016,Ann Wilkerson,2007-09-02,Grade 3,+17352700046,90671
S00017,Kelly Delgado,2015-06-28,Grade 2,+19938712154,45650
S00018,Michael Baker,2008-07-21,Grade 1,+12665645904,54580
S00019,Jennifer Adams,2015-01-03,Grade 4,+12096138159,-
S00020,Elizabeth Lopez,2016-04-21,Grade 3,+14367819737,4414
S00021,Patricia Atkins,2019-01-07,Grade 5,+19084006429,947
S00022,Justin Wright,2010-06-25,Grade 2,+19759149462,2990
S00023,Justin Sandoval,2016-05-22,Grade 1,+18986795228,-
S00024,Kimberly Massey,2008-05-05,Grade 3,+18884449025,-
S00025,Theresa Marsh,2009-04-18,Grade 2,+16766966482,-
S00026,Todd Noble,2006-05-03,Grade 3,+17303991378,-
S00027,Jonathan Cline,2009-03-13,Grade 3,+19033367816,-
S00028,Diana Fitzpatrick,2008-09-12,Grade 5,+14683290737,-
S00029,Brandi Winters,2007-01-14,Grade 3,+12236286249,-
S00030,Vincent Harrison,2013-01-26,Grade 3,+17959198159,-
S00031,Michael May,2009-01-13,Grade 4,+13756420607,9672
S00032,Katherine Chang,2010-09-03,Grade 4,+14356171689,00179
S00033,Kenneth Levine,2019-01-15,Grade 1,+15295060532,-
S00034,Melissa Cohen,2016-08-20,Grade 1,+19557374295,-
S00035,Pamela Lambert,2010-11-06,Grade 2,+15913609003,-
S00036,James Stewart,2010-10-03,Grade 3,+14627695212,47777
S00037,Rebecca Barr,2007-04-24,Grade 1,+18193326636,418
S00038,Brandi Carroll,2018-09-04,Grade 1,+19394503967,848
S00039,Jordan Jenkins,2018-12-16,Grade 1,+13937091081,-
S00040,Frank Douglas,2017-08-22,Grade 5,+15614023053,-
S00041,Robert Walters,2017-03-28,Grade 1,+15747421671,902
S00042,Timothy Russell,2010-02-03,Grade 3,+17145710022,0344
S00043,Amanda Davis,2008-01-17,Grade 2,-,-
S00044,Vicki Whitaker,2013-10-16,Grade 1,+15428613947,-
S00045,Melanie Martinez,2011-03-07,Grade 5,+17336066480,-
S00046,Michael Pennington,2012-03-08,Grade 1,+15579762931,631
S00047,Deborah Robinson,2012-07-19,Grade 1,+16445218876,-
S00048,Jonathon Ortiz,2016-06-27,Grade 2,+13838713344,-
S00049,David Soto,2015-05-06,Grade 2,+18903443191,4523
S00050,Alex Evans,2006-10-05,Grade 2,+13202020791,71781
S00051,Jesse Hayes,2015-02-16,Grade 5,+14885149535,46355
S00052,Robert Fox,2009-02-16,Grade 4,+18108141294,88853
S00053,Brian Meyer,2010-08-25,Grade 4,+13919731573,4962
S00054,Thomas Morales,2017-09-30,Grade 2,+19015685838,-
S00055,Susan Miller,2012-07-18,Grade 4,+16272940839,30853
S00056,Victoria Lewis,2006-08-25,Grade 3,-,-
S00057,Robert Foster,2012-07-02,Grade 5,+19737272308,-
S00058,Steven Donovan,2017-06-06,Grade 5,+13097416530,084
S00059,Kiara Meadows,2008-02-03,Grade 2,+15268733321,-
S00060,Shawn Carroll,2007-08-27,Grade 3,+12849976975,318
S00061,Kent Davenport,2012-08-05,Grade 4,+19748184092,-
S00062,Jason Clark,2018-07-22,Grade 3,-,-
S00063,Jason Marquez,2016-08-01,Grade 2,+16722077384,-
S00064,Danielle Curtis,2012-04-12,Grade 3,+19375020746,53513
S00065,Laura Stanley,2015-12-13,Grade 2,+18409353883,-
S00066,Wyatt Nelson,2010-01-10,Grade 5,+19384962179,2337
S00067,Philip Hill,2015-02-02,Grade 1,+12657658985,04502
S00068,Robert Clark,2017-09-09,Grade 3,+16469950750,-
